timestamp,sensor_id,sensor_type,sensor_label,sensor_units,sample_name,sensor_value
1754678872.312781,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,20.937
1754678872.440694,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,21.0
1754678874.2327306,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,20.937
1754678874.3606606,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,21.0
1754678876.1527033,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,21.0
1754678876.280657,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,21.0
1754678878.0732343,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,20.937
1754678878.2049978,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,21.0
1754678879.9931521,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,20.937
1754678880.1249542,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,21.0
